id,name,email,is_active,created_at,updated_at,uuid,age,salary,joining_date,gender
1,name1,name1@email.com,true,2023-01-01,2023-01-01,3d6f50ef-1f8d-4cfc-8a6d-b62f87d5a4f9,30,4500.50,2023-01-01,male
3,name3,name3@email.com,true,2023-01-01,2023-01-01,3d6f50ef-1f8d-4cfc-8a6d-b62f87d5a4f9,30,4500.50,2023-01-01,male
2,,name2@email.com,true,2023-01-01,2023-01-01,3d6f50ef-1f8d-4cfc-8a6d-b62f87d5a4f9,30,4500.50,2023-01-01,female
4,name4,name4@email.com,true,2023-01-01,2023-01-01,3d6f50ef-1f8d-4cfc-8a6d-b62f87d5a4f9,30,4500.50,2023-01-01,female
5,name5,name5@email.com,true,2023-01-01,2023-01-01,3d6f50ef-1f8d-4cfc-8a6d-b62f87d5a4f9,30,4500.50,2023-01-01,female
6,name6,name6@email.com,true,2023-01-01,2023-01-01,3d6f50ef-1f8d-4cfc-8a6d-b62f87d5a4f9,30,4500.50,2023-01-01,female
7,name7,name7@email.com,true,2023-01-01,2023-01-01,3d6f50ef-1f8d-4cfc-8a6d-b62f87d5a4f9,30,4500.50,2023-01-01,male
8,null,name8@email.com,true,2023-01-01,2023-01-01,3d6f50ef-1f8d-4cfc-8a6d-b62f87d5a4f9,30,4500.50,2023-01-01,male
9,name9,name9@email.com,true,2023-01-01,2023-01-01,3d6f50ef-1f8d-4cfc-8a6d-b62f87d5a4f9,30,4500.50,2023-01-01,male
10,name10,name10@email.com,true,2023-01-01,2023-01-01,3d6f50ef-1f8d-4cfc-8a6d-b62f87d5a4f9,30,4500.50,2023-01-01,male
11,name11,name11@email.com,true,2023-01-01,2023-01-01,3d6f50ef-1f8d-4cfc-8a6d-b62f87d5a4f9,30,4500.50,2023-01-01,female
12,name12,name12@email.com,true,2023-01-01,2023-01-01,3d6f50ef-1f8d-4cfc-8a6d-b62f87d5a4f9,30,4500.50,2023-01-01,male
13,name13,name13@email.com,true,2023-01-01,2023-01-01,3d6f50ef-1f8d-4cfc-8a6d-b62f87d5a4f9,30,4500.50,2023-01-01,female
14,name14,name14@email.com,true,2023-01-01,2023-01-01,3d6f50ef-1f8d-4cfc-8a6d-b62f87d5a4f9,30,4500.50,2023-01-01,male
15,name15,name15@email.com,true,null,2023-01-01,3d6f50ef-1f8d-4cfc-8a6d-b62f87d5a4f9,30,4500.50,2023-01-01,female
16,name16,name16@email.com,true,2023-01-01,2023-01-01,3d6f50ef-1f8d-4cfc-8a6d-b62f87d5a4f9,30,4500.50,2023-01-01,male
17,name17,name17@email.com,true,2023-01-01,2023-01-01,3d6f50ef-1f8d-4cfc-8a6d-b62f87d5a4f9,30,4500.50,2023-01-01,female
18,name18,name18@email.com,true,2023-01-01,2023-01-01,3d6f50ef-1f8d-4cfc-8a6d-b62f87d5a4f9,30,4500.50,2023-01-01,male
19,name19,name19@email.com,true,2023-01-01,2023-01-01,3d6f50ef-1f8d-4cfc-8a6d-b62f87d5a4f9,30,4500.50,2023-01-01,female
20,name20,name20@email.com,true,2023-01-01,2023-01-01,3d6f50ef-1f8d-4cfc-8a6d-b62f87d5a4f9,30,4500.50,2023-01-01,male
